Tissue,Sample,Gene_A,Gene_B
BLCA,TCGA-BT-A20W-01A-21R-A14Y-07,MPP5,GPHN
BLCA,TCGA-BT-A20W-01A-21R-A14Y-07,NECAP1,ANK1
BLCA,TCGA-BT-A20W-01A-21R-A14Y-07,RANBP10,SLC12A4
BLCA,TCGA-BT-A20W-01A-21R-A14Y-07,SMARCC1,SHISA5
BLCA,TCGA-BT-A20X-01A-11R-A16R-07,9-Mar,KCNC2
BLCA,TCGA-BT-A2LA-01A-11R-A18C-07,AARSD1,FBXL20
BLCA,TCGA-BT-A2LA-01A-11R-A18C-07,FAM13C,ZNF365
BLCA,TCGA-BT-A2LA-01A-11R-A18C-07,FECH,C1orf130
BLCA,TCGA-BT-A2LA-01A-11R-A18C-07,HELZ,ABCA10
BLCA,TCGA-BT-A2LA-01A-11R-A18C-07,MLL,SLC22A10
BLCA,TCGA-BT-A2LA-01A-11R-A18C-07,STK24,TMTC4
BLCA,TCGA-BT-A2LB-01A-11R-A18C-07,KIAA0430,IQCK
BLCA,TCGA-BT-A2LD-01A-12R-A20F-07,HS6ST2,NPFFR2
BLCA,TCGA-BT-A2LD-01A-12R-A20F-07,KIAA1429,CPA6
BLCA,TCGA-BT-A2LD-01A-12R-A20F-07,RBM39,PRDM5
BLCA,TCGA-BT-A3PH-01A-11R-A220-07,ACTB,KIAA0182
BLCA,TCGA-BT-A3PH-01A-11R-A220-07,AP1B1,CLCN3
BLCA,TCGA-BT-A3PH-01A-11R-A220-07,KTN1,ANKS1A
BLCA,TCGA-BT-A3PH-01A-11R-A220-07,WDR62,HCST
BLCA,TCGA-BT-A3PJ-01A-21R-A220-07,DGUOK,ACTG2
BLCA,TCGA-BT-A3PJ-01A-21R-A220-07,MYO9A,CELF6
BLCA,TCGA-BT-A3PJ-01A-21R-A220-07,PCBP2,YWHAE
BLCA,TCGA-BT-A3PJ-01A-21R-A220-07,RCOR1,TECPR2
BLCA,TCGA-BT-A3PK-01A-21R-A220-07,BACH1,C21orf7
BLCA,TCGA-BT-A3PK-01A-21R-A220-07,EXT1,FAM155A
BLCA,TCGA-BT-A3PK-01A-21R-A220-07,HIVEP3,ZMYND12
BLCA,TCGA-BT-A3PK-01A-21R-A220-07,ROCK1,GUCA2B
BLCA,TCGA-BT-A42C-01A,FCHSD2,PPFIA1
